Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Mon Nov 18 2019,7:30p,Hornets,96,Raptors,132,Box Score,,19800,
Mon Nov 18 2019,8:00p,Bucks,115,Bulls,101,Box Score,,17565,
Mon Nov 18 2019,8:00p,Blazers,108,Rockets,132,Box Score,,18055,
Mon Nov 18 2019,8:30p,Spurs,110,Mavericks,117,Box Score,,19637,
Mon Nov 18 2019,9:00p,Celtics,99,Suns,85,Box Score,,15193,
Mon Nov 18 2019,9:00p,Timberwolves,112,Jazz,102,Box Score,,18306,
Mon Nov 18 2019,10:30p,Thunder,88,Clippers,90,Box Score,,19068,
Tue Nov 19 2019,8:00p,Warriors,114,Grizzlies,95,Box Score,,14511,
Tue Nov 19 2019,8:00p,Blazers,104,Pelicans,115,Box Score,,15021,
Tue Nov 19 2019,10:00p,Suns,116,Kings,120,Box Score,,16732,
Tue Nov 19 2019,10:30p,Thunder,107,Lakers,112,Box Score,,18997,
Wed Nov 20 2019,7:00p,Knicks,104,Sixers,109,Box Score,,20384,
Wed Nov 20 2019,7:00p,Spurs,132,Wizards,138,Box Score,,14579,
Wed Nov 20 2019,7:30p,Bucks,135,Hawks,127,Box Score,,16441,
Wed Nov 20 2019,7:30p,Hornets,91,Nets,101,Box Score,,14011,
Wed Nov 20 2019,7:30p,Warriors,94,Mavericks,142,Box Score,,19569,
Wed Nov 20 2019,7:30p,Cavaliers,100,Heat,124,Box Score,,19600,
Wed Nov 20 2019,7:30p,Magic,97,Raptors,113,Box Score,,19800,
Wed Nov 20 2019,8:00p,Pistons,89,Bulls,109,Box Score,,18119,
Wed Nov 20 2019,8:00p,Jazz,103,Timberwolves,95,Box Score,,13177,
Wed Nov 20 2019,9:00p,Rockets,95,Nuggets,105,Box Score,,17778,
Wed Nov 20 2019,10:00p,Celtics,104,Clippers,107,Box Score,OT,19068,
Thu Nov 21 2019,8:00p,Blazers,129,Bucks,137,Box Score,,17385,
Thu Nov 21 2019,10:30p,Pelicans,124,Suns,121,Box Score,,13903,
Fri Nov 22 2019,7:00p,Hawks,103,Pistons,128,Box Score,,15399,
Fri Nov 22 2019,7:00p,Hornets,118,Wizards,125,Box Score,,15053,
Fri Nov 22 2019,7:30p,Kings,97,Nets,116,Box Score,,15619,
Fri Nov 22 2019,8:00p,Heat,116,Bulls,108,Box Score,,18953,
Fri Nov 22 2019,8:00p,Lakers,130,Thunder,127,Box Score,,18203,
Fri Nov 22 2019,8:00p,Spurs,104,Sixers,115,Box Score,,20927,
Fri Nov 22 2019,8:30p,Cavaliers,101,Mavericks,143,Box Score,,19639,
Fri Nov 22 2019,9:00p,Celtics,92,Nuggets,96,Box Score,,19520,
Fri Nov 22 2019,9:00p,Warriors,109,Jazz,113,Box Score,,18306,
Fri Nov 22 2019,10:30p,Rockets,119,Clippers,122,Box Score,,19068,
Sat Nov 23 2019,5:00p,Suns,100,Timberwolves,98,Box Score,,17362,
Sat Nov 23 2019,7:00p,Bulls,116,Hornets,115,Box Score,,17891,
Sat Nov 23 2019,7:00p,Magic,106,Pacers,111,Box Score,,16446,
Sat Nov 23 2019,7:30p,Raptors,119,Hawks,116,Box Score,,16931,
Sat Nov 23 2019,7:30p,Spurs,111,Knicks,104,Box Score,,19320,
Sat Nov 23 2019,7:30p,Heat,86,Sixers,113,Box Score,,21017,
Sat Nov 23 2019,8:00p,Blazers,104,Cavaliers,110,Box Score,,19432,
Sat Nov 23 2019,8:00p,Lakers,109,Grizzlies,108,Box Score,,17794,
Sat Nov 23 2019,8:30p,Pistons,90,Bucks,104,Box Score,,17585,
Sat Nov 23 2019,9:00p,Pelicans,120,Jazz,128,Box Score,,18306,
Sun Nov 24 2019,3:30p,Mavericks,137,Rockets,123,Box Score,,18055,
Sun Nov 24 2019,6:00p,Nets,103,Knicks,101,Box Score,,18770,
Sun Nov 24 2019,6:00p,Kings,113,Wizards,106,Box Score,,15885,
Sun Nov 24 2019,8:00p,Suns,104,Nuggets,116,Box Score,,19520,
Sun Nov 24 2019,9:00p,Pelicans,109,Clippers,134,Box Score,,19068,
Mon Nov 25 2019,7:00p,Nets,108,Cavaliers,106,Box Score,,17143,
Mon Nov 25 2019,7:00p,Magic,88,Pistons,103,Box Score,,14695,
Mon Nov 25 2019,7:00p,Grizzlies,114,Pacers,126,Box Score,,15141,
Mon Nov 25 2019,7:30p,Timberwolves,125,Hawks,113,Box Score,,16218,
Mon Nov 25 2019,7:30p,Kings,102,Celtics,103,Box Score,,19156,
Mon Nov 25 2019,7:30p,Hornets,100,Heat,117,Box Score,,19600,
Mon Nov 25 2019,7:30p,Sixers,96,Raptors,101,Box Score,,19800,
Mon Nov 25 2019,8:00p,Blazers,117,Bulls,94,Box Score,,18776,
Mon Nov 25 2019,8:00p,Jazz,118,Bucks,122,Box Score,,17385,
Mon Nov 25 2019,8:30p,Lakers,114,Spurs,104,Box Score,,18498,
Mon Nov 25 2019,10:30p,Thunder,100,Warriors,97,Box Score,,18064,
Tue Nov 26 2019,8:30p,Clippers,114,Mavericks,99,Box Score,,20407,
Tue Nov 26 2019,9:00p,Wizards,104,Nuggets,117,Box Score,,18673,
Wed Nov 27 2019,7:00p,Nets,110,Celtics,121,Box Score,,19156,
Wed Nov 27 2019,7:00p,Pistons,101,Hornets,102,Box Score,,15535,
Wed Nov 27 2019,7:00p,Magic,116,Cavaliers,104,Box Score,,17712,
Wed Nov 27 2019,7:00p,Jazz,102,Pacers,121,Box Score,,17027,
Wed Nov 27 2019,7:00p,Kings,91,Sixers,97,Box Score,,20592,
Wed Nov 27 2019,7:30p,Knicks,98,Raptors,126,Box Score,,19800,
Wed Nov 27 2019,8:00p,Heat,108,Rockets,117,Box Score,,18055,
Wed Nov 27 2019,8:00p,Clippers,121,Grizzlies,119,Box Score,,16721,
Wed Nov 27 2019,8:00p,Hawks,102,Bucks,111,Box Score,,17525,
Wed Nov 27 2019,8:30p,Timberwolves,113,Spurs,101,Box Score,,18354,
Wed Nov 27 2019,9:00p,Wizards,140,Suns,132,Box Score,,14123,
Wed Nov 27 2019,9:30p,Lakers,114,Pelicans,110,Box Score,,18626,
Wed Nov 27 2019,10:00p,Thunder,119,Blazers,136,Box Score,,19870,
Wed Nov 27 2019,10:30p,Bulls,90,Warriors,104,Box Score,,18064,
Fri Nov 29 2019,12:00p,Celtics,107,Nets,112,Box Score,,17732,
Fri Nov 29 2019,7:00p,Hornets,110,Pistons,107,Box Score,,15006,
Fri Nov 29 2019,7:00p,Raptors,90,Magic,83,Box Score,,17014,
Fri Nov 29 2019,7:30p,Bucks,119,Cavaliers,110,Box Score,,19432,
Fri Nov 29 2019,7:30p,Sixers,101,Knicks,95,Box Score,,18109,
Fri Nov 29 2019,8:00p,Hawks,104,Pacers,105,Box Score,OT,15827,
Fri Nov 29 2019,8:00p,Jazz,103,Grizzlies,94,Box Score,,16605,
Fri Nov 29 2019,8:00p,Warriors,105,Heat,122,Box Score,,19600,
Fri Nov 29 2019,8:00p,Pelicans,104,Thunder,109,Box Score,,18203,
Fri Nov 29 2019,8:30p,Clippers,97,Spurs,107,Box Score,,18354,
Fri Nov 29 2019,9:00p,Mavericks,120,Suns,113,Box Score,,18055,
Fri Nov 29 2019,10:00p,Bulls,103,Blazers,107,Box Score,,20139,
Fri Nov 29 2019,10:30p,Wizards,103,Lakers,125,Box Score,,18997,
Sat Nov 30 2019,5:00p,Nuggets,97,Kings,100,Box Score,OT,17583,
Sat Nov 30 2019,7:00p,Pacers,116,Sixers,119,Box Score,,20517,
Sat Nov 30 2019,8:00p,Hawks,111,Rockets,158,Box Score,,18055,
Sat Nov 30 2019,8:00p,Hornets,96,Bucks,137,Box Score,,17550,
Sun Dec 1 2019,3:00p,Heat,109,Nets,106,Box Score,,17026,
Sun Dec 1 2019,3:30p,Grizzlies,115,Timberwolves,107,Box Score,,12276,
Sun Dec 1 2019,3:30p,Celtics,113,Knicks,104,Box Score,,18005,
Sun Dec 1 2019,4:00p,Mavericks,114,Lakers,100,Box Score,,18997,
Sun Dec 1 2019,5:00p,Spurs,98,Pistons,132,Box Score,,14270,
Sun Dec 1 2019,5:00p,Thunder,107,Pelicans,104,Box Score,,15427,
Sun Dec 1 2019,6:00p,Warriors,96,Magic,100,Box Score,,15052,
Sun Dec 1 2019,6:00p,Jazz,110,Raptors,130,Box Score,,18132,
Sun Dec 1 2019,10:30p,Wizards,125,Clippers,150,Box Score,,19068,
Mon Dec 2 2019,7:00p,Suns,109,Hornets,104,Box Score,,11221,
Mon Dec 2 2019,7:00p,Jazz,94,Sixers,103,Box Score,,20208,
Mon Dec 2 2019,7:30p,Warriors,79,Hawks,104,Box Score,,14278,
Mon Dec 2 2019,8:00p,Pacers,117,Grizzlies,104,Box Score,,11919,
Mon Dec 2 2019,8:00p,Knicks,88,Bucks,132,Box Score,,17385,
Mon Dec 2 2019,10:00p,Bulls,113,Kings,106,Box Score,,17257,
Tue Dec 3 2019,7:00p,Pistons,127,Cavaliers,94,Box Score,,17504,
Tue Dec 3 2019,7:00p,Magic,127,Wizards,120,Box Score,,13159,
Tue Dec 3 2019,7:30p,Mavericks,118,Pelicans,97,Box Score,,14664,
Tue Dec 3 2019,7:30p,Heat,121,Raptors,110,Box Score,OT,19800,
Tue Dec 3 2019,8:30p,Rockets,133,Spurs,135,Box Score,2OT,18354,
Tue Dec 3 2019,9:00p,Lakers,105,Nuggets,96,Box Score,,19658,
Tue Dec 3 2019,10:00p,Blazers,97,Clippers,117,Box Score,,19068,
Wed Dec 4 2019,7:00p,Warriors,91,Hornets,106,Box Score,,14355,
Wed Dec 4 2019,7:00p,Bucks,127,Pistons,103,Box Score,,15742,
Wed Dec 4 2019,7:00p,Suns,114,Magic,128,Box Score,,15176,
Wed Dec 4 2019,7:30p,Nets,130,Hawks,118,Box Score,,15694,
Wed Dec 4 2019,7:30p,Heat,93,Celtics,112,Box Score,,19156,
Wed Dec 4 2019,8:00p,Grizzlies,99,Bulls,106,Box Score,,15017,
Wed Dec 4 2019,8:00p,Pacers,107,Thunder,100,Box Score,,18203,
Wed Dec 4 2019,8:30p,Timberwolves,114,Mavericks,121,Box Score,,19671,
Wed Dec 4 2019,9:00p,Lakers,121,Jazz,96,Box Score,,18306,
Wed Dec 4 2019,10:00p,Kings,116,Blazers,127,Box Score,,19393,
Thu Dec 5 2019,7:00p,Sixers,113,Wizards,119,Box Score,,16554,
Thu Dec 5 2019,7:30p,Nuggets,129,Knicks,92,Box Score,,18171,
Thu Dec 5 2019,7:30p,Rockets,119,Raptors,109,Box Score,,19800,
Thu Dec 5 2019,8:00p,Suns,139,Pelicans,132,Box Score,OT,15607,
Fri Dec 6 2019,7:00p,Nets,111,Hornets,104,Box Score,,15075,
Fri Dec 6 2019,7:00p,Magic,93,Cavaliers,87,Box Score,,18446,
Fri Dec 6 2019,7:00p,Pacers,101,Pistons,108,Box Score,,14894,
Fri Dec 6 2019,8:00p,Nuggets,95,Celtics,108,Box Score,,19156,
Fri Dec 6 2019,8:00p,Warriors,100,Bulls,98,Box Score,,18841,
Fri Dec 6 2019,8:00p,Wizards,103,Heat,112,Box Score,,19600,
Fri Dec 6 2019,8:00p,Timberwolves,127,Thunder,139,Box Score,OT,18203,
Fri Dec 6 2019,8:30p,Clippers,91,Bucks,119,Box Score,,17732,
Fri Dec 6 2019,8:30p,Kings,104,Spurs,105,Box Score,OT,18354,
Fri Dec 6 2019,10:30p,Lakers,136,Blazers,113,Box Score,,19912,
Sat Dec 7 2019,2:00p,Pelicans,84,Mavericks,130,Box Score,,19456,
Sat Dec 7 2019,7:30p,Pacers,104,Knicks,103,Box Score,,19110,
Sat Dec 7 2019,7:30p,Cavaliers,94,Sixers,141,Box Score,,20844,
Sat Dec 7 2019,8:00p,Suns,109,Rockets,115,Box Score,,18055,
